path,label
../Processed_Dataset/measurements/1024_64_128/0.csv,0
../Processed_Dataset/measurements/1024_64_128/1.csv,1
../Processed_Dataset/measurements/1024_64_128/29.csv,0
../Processed_Dataset/measurements/1024_64_128/37.csv,1
../Processed_Dataset/measurements/1024_64_128/44.csv,0
../Processed_Dataset/measurements/1024_64_128/53.csv,1
../Processed_Dataset/measurements/1024_64_128/54.csv,0
../Processed_Dataset/measurements/1024_64_128/62.csv,0
../Processed_Dataset/measurements/1024_64_128/81.csv,1
../Processed_Dataset/measurements/1024_64_128/99.csv,1
../Processed_Dataset/measurements/1024_64_128/121.csv,1
../Processed_Dataset/measurements/1024_64_128/124.csv,1
../Processed_Dataset/measurements/1024_64_128/131.csv,1
../Processed_Dataset/measurements/1024_64_128/144.csv,1
../Processed_Dataset/measurements/1024_64_128/158.csv,1
../Processed_Dataset/measurements/1024_64_128/162.csv,1
../Processed_Dataset/measurements/1024_64_128/164.csv,1
../Processed_Dataset/measurements/1024_64_128/178.csv,1
../Processed_Dataset/measurements/1024_64_128/181.csv,1
../Processed_Dataset/measurements/1024_64_128/183.csv,1
../Processed_Dataset/measurements/1024_64_128/201.csv,1
../Processed_Dataset/measurements/1024_64_128/208.csv,1
../Processed_Dataset/measurements/1024_64_128/210.csv,1
../Processed_Dataset/measurements/1024_64_128/225.csv,0
../Processed_Dataset/measurements/1024_64_128/230.csv,1
../Processed_Dataset/measurements/1024_64_128/233.csv,0
../Processed_Dataset/measurements/1024_64_128/248.csv,1
../Processed_Dataset/measurements/1024_64_128/250.csv,1
../Processed_Dataset/measurements/1024_64_128/252.csv,1
../Processed_Dataset/measurements/1024_64_128/256.csv,1
../Processed_Dataset/measurements/1024_64_128/260.csv,1
../Processed_Dataset/measurements/1024_64_128/265.csv,0
../Processed_Dataset/measurements/1024_64_128/280.csv,1
../Processed_Dataset/measurements/1024_64_128/293.csv,0
../Processed_Dataset/measurements/1024_64_128/296.csv,1
../Processed_Dataset/measurements/1024_64_128/298.csv,1
../Processed_Dataset/measurements/1024_64_128/299.csv,1
../Processed_Dataset/measurements/1024_64_128/304.csv,1
../Processed_Dataset/measurements/1024_64_128/315.csv,1
../Processed_Dataset/measurements/1024_64_128/321.csv,1
../Processed_Dataset/measurements/1024_64_128/324.csv,1
../Processed_Dataset/measurements/1024_64_128/357.csv,0
../Processed_Dataset/measurements/1024_64_128/368.csv,0
../Processed_Dataset/measurements/1024_64_128/374.csv,0
../Processed_Dataset/measurements/1024_64_128/392.csv,1
../Processed_Dataset/measurements/1024_64_128/397.csv,1
../Processed_Dataset/measurements/1024_64_128/402.csv,1
../Processed_Dataset/measurements/1024_64_128/411.csv,1
../Processed_Dataset/measurements/1024_64_128/422.csv,1
../Processed_Dataset/measurements/1024_64_128/462.csv,1
../Processed_Dataset/measurements/1024_64_128/490.csv,1
../Processed_Dataset/measurements/1024_64_128/514.csv,0
../Processed_Dataset/measurements/1024_64_128/518.csv,1
../Processed_Dataset/measurements/1024_64_128/525.csv,0
../Processed_Dataset/measurements/1024_64_128/530.csv,1
../Processed_Dataset/measurements/1024_64_128/532.csv,0
../Processed_Dataset/measurements/1024_64_128/561.csv,0
../Processed_Dataset/measurements/1024_64_128/571.csv,1
../Processed_Dataset/measurements/1024_64_128/579.csv,1
../Processed_Dataset/measurements/1024_64_128/580.csv,1
../Processed_Dataset/measurements/1024_64_128/582.csv,1
../Processed_Dataset/measurements/1024_64_128/585.csv,0
../Processed_Dataset/measurements/1024_64_128/604.csv,1
../Processed_Dataset/measurements/1024_64_128/621.csv,1
../Processed_Dataset/measurements/1024_64_128/667.csv,1
../Processed_Dataset/measurements/1024_64_128/686.csv,0
../Processed_Dataset/measurements/1024_64_128/711.csv,1
../Processed_Dataset/measurements/1024_64_128/714.csv,1
../Processed_Dataset/measurements/1024_64_128/721.csv,1
../Processed_Dataset/measurements/1024_64_128/723.csv,1
../Processed_Dataset/measurements/1024_64_128/745.csv,1
../Processed_Dataset/measurements/1024_64_128/770.csv,1
../Processed_Dataset/measurements/1024_64_128/776.csv,1
../Processed_Dataset/measurements/1024_64_128/794.csv,1
../Processed_Dataset/measurements/1024_64_128/815.csv,1
../Processed_Dataset/measurements/1024_64_128/836.csv,1
../Processed_Dataset/measurements/1024_64_128/850.csv,1
../Processed_Dataset/measurements/1024_64_128/858.csv,1
../Processed_Dataset/measurements/1024_64_128/865.csv,1
../Processed_Dataset/measurements/1024_64_128/888.csv,0
../Processed_Dataset/measurements/1024_64_128/889.csv,0
../Processed_Dataset/measurements/1024_64_128/899.csv,1
../Processed_Dataset/measurements/1024_64_128/922.csv,1
../Processed_Dataset/measurements/1024_64_128/933.csv,0
../Processed_Dataset/measurements/1024_64_128/936.csv,1
../Processed_Dataset/measurements/1024_64_128/947.csv,1
../Processed_Dataset/measurements/1024_64_128/948.csv,1
../Processed_Dataset/measurements/1024_64_128/989.csv,0
../Processed_Dataset/measurements/1024_64_128/1014.csv,1
../Processed_Dataset/measurements/1024_64_128/1024.csv,1
../Processed_Dataset/measurements/1024_64_128/1032.csv,1
../Processed_Dataset/measurements/1024_64_128/1055.csv,1
../Processed_Dataset/measurements/1024_64_128/1059.csv,1
../Processed_Dataset/measurements/1024_64_128/1061.csv,1
../Processed_Dataset/measurements/1024_64_128/1062.csv,1
../Processed_Dataset/measurements/1024_64_128/1079.csv,0
../Processed_Dataset/measurements/1024_64_128/1091.csv,0
../Processed_Dataset/measurements/1024_64_128/1094.csv,0
../Processed_Dataset/measurements/1024_64_128/1099.csv,0
../Processed_Dataset/measurements/1024_64_128/1105.csv,0
../Processed_Dataset/measurements/1024_64_128/1106.csv,1
../Processed_Dataset/measurements/1024_64_128/1109.csv,1
../Processed_Dataset/measurements/1024_64_128/1118.csv,0
../Processed_Dataset/measurements/1024_64_128/1119.csv,0
../Processed_Dataset/measurements/1024_64_128/1124.csv,1
../Processed_Dataset/measurements/1024_64_128/1130.csv,0
../Processed_Dataset/measurements/1024_64_128/1157.csv,1
../Processed_Dataset/measurements/1024_64_128/1166.csv,0
../Processed_Dataset/measurements/1024_64_128/1173.csv,0
